"Date";"Amount";"Original amount";"Original currency";"Exchange rate";"Description";"Subject";"Category";"Tags";"Wise";"Spaces"
"2026-01-03";"-12.90";"";"";"";"Spotify";"Monthly subscription";"uncategorized";"";"no";"no"
"2026-01-05";"-65.40";"";"";"";"Coop";"Weekly groceries";"uncategorized";"";"no";"no"
"2026-01-10";"-8.80";"";"";"";"SBB";"Single ticket";"uncategorized";"";"no";"no"
"2026-01-15";"-142.30";"";"";"";"Migros";"Family shopping";"uncategorized";"";"no";"no"
"2026-01-20";"-44.10";"";"";"";"Coop";"Wine and bread";"uncategorized";"";"no";"no"
"2026-01-25";"-79.00";"";"";"";"SBB";"Monthly pass";"uncategorized";"";"no";"no"
"2026-01-30";"-31.55";"";"";"";"Migros";"Quick stop";"uncategorized";"";"no";"no"
"2026-02-03";"-12.90";"";"";"";"Spotify";"Monthly subscription";"uncategorized";"";"no";"no"
"2026-02-08";"-58.20";"";"";"";"Coop";"Weekly groceries";"uncategorized";"";"no";"no"
"2026-02-13";"-15.60";"";"";"";"SBB";"Day pass";"uncategorized";"";"no";"no"
"2026-02-15";"-12.90";"";"";"";"Spotify";"Plan upgrade";"uncategorized";"";"no";"no"
"2026-02-18";"-89.40";"";"";"";"Migros";"Cleaning supplies";"uncategorized";"";"no";"no"
"2026-02-22";"-51.70";"";"";"";"Coop";"Sunday shop";"uncategorized";"";"no";"no"
"2026-02-27";"-22.40";"";"";"";"SBB";"Return ticket";"uncategorized";"";"no";"no"
"2026-03-03";"-12.90";"";"";"";"Spotify";"Monthly subscription";"uncategorized";"";"no";"no"
"2026-03-04";"-104.20";"";"";"";"Migros";"Bulk run";"uncategorized";"";"no";"no"
"2026-03-12";"-39.80";"";"";"";"Coop";"Snacks and drinks";"uncategorized";"";"no";"no"
"2026-03-15";"-12.90";"";"";"";"Spotify";"Monthly subscription";"uncategorized";"";"no";"no"
"2026-03-17";"-6.40";"";"";"";"SBB";"Tram";"uncategorized";"";"no";"no"
"2026-03-22";"-67.75";"";"";"";"Migros";"Weekly groceries";"uncategorized";"";"no";"no"
